"Submit_ID","Brand_Reg","Model_No","Country","screensize","Screen_Tech","Avg_mode_power","Availability Status","Star2","Screen_Size_Inches","Screen_Size_Category_Num"
136372,"HISENSE","65A7G","China",163.896,"LCD (LED)",107.54,"Available",5,64.5258552,"65"
136391,"HISENSE","50A7G","China",125.731,"LCD (LED)",61.76,"Available",5.5,49.5002947,"50"
136407,"HISENSE","55A7G","China",138.783,"LCD (LED)",75.31,"Available",5.5,54.63886709999999,"55"
136650,"HISENSE","32A4G","China",80.04,"LCD (LED)",25.93,"Available",6,31.511748,"30"
136653,"HISENSE","55U7G","China",138.548,"LCD (LED)",96.71,"Available",4.5,54.5463476,"55"
136722,"HISENSE","75A7G","China",189.274,"LCD (LED)",125.66,"Available",5.5,74.5171738,"75"
136903,"SAMSUNG ELECTRONICS","QA65QN700AW","Vietnam",163.829,"LCD (LED)",220,"Available",2.5,64.4994773,"65"
136903,"SAMSUNG ELECTRONICS","QA65QN700AS","Vietnam",163.829,"LCD (LED)",220,"Available",2.5,64.4994773,"65"
136903,"SAMSUNG ELECTRONICS","QA65QN700A","Vietnam",163.829,"LCD (LED)",220,"Available",2.5,64.4994773,"65"
136914,"SAMSUNG ELECTRONICS","QA75QN700AW","Vietnam",189.306,"LCD (LED)",242,"Available",3,74.5297722,"75"
136914,"SAMSUNG ELECTRONICS","QA75QN700AS","Vietnam",189.306,"LCD (LED)",242,"Available",3,74.5297722,"75"
136914,"SAMSUNG ELECTRONICS","QA75QN700A","Vietnam",189.306,"LCD (LED)",242,"Available",3,74.5297722,"75"
136962,"HISENSE","75U7G","China",189.34,"LCD (LED)",173.3,"Available",4.5,74.543158,"75"
136970,"PHILIPS","55HFL2899T/79","China",138.783,"LCD (LED)",57,"Available",6,54.63886709999999,"55"
137016,"PHILIPS","65HFL2899T/79","China",163.896,"LCD (LED)",70.4,"Available",7,64.5258552,"65"
137043,"HISENSE","55U8G","China",138.783,"LCD (LED)",111.93,"Available",3.5,54.63886709999999,"55"
137047,"Linsar","LS70UHDNF","China",176.563,"LCD (LED)",111.08,"Available",6,69.5128531,"70"
137053,"HISENSE","65U8G","China",163.896,"LCD",151.23,"Available",3.5,64.5258552,"65"
137088,"FURRION","FDFD24A0D","China",60.468,"LCD",22,"Available",5,23.8062516,"25"
137098,"HISENSE","75U90G","China",189.34,"LCD (LED)",284.19,"Available",2,74.543158,"75"
137162,"CHiQ","U50G7H","China",125.725,"LCD (LED)",72,"Available",5,49.4979325,"50"
137163,"CHiQ","U55G7H","China",138.711,"LCD (LED)",95,"Available",4.5,54.6105207,"55"
137164,"CHiQ","U65G7H","China",163.829,"LCD (LED)",138,"Available",4.5,64.4994773,"65"
137166,"HISENSE","65U7G","China",163.896,"LCD (LED)",119.45,"Available",4.5,64.5258552,"65"
137205,"HISENSE","43A7G","China",107.986,"LCD (LED)",57.75,"Available",4.5,42.5140882,"45"
137247,"LG","70UP8050PVB","Indonesia,South Korea",176.564,"LCD (LED)",153,"Available",4.5,69.51324679999999,"70"
137248,"LG","32LT662MBTB","Indonesia,South Korea",80.043,"LCD (LED)",33,"Available",5,31.5129291,"30"
137271,"HISENSE","40A4G","China",100.332,"LCD (LED)",31.27,"Available",6,39.50070839999999,"40"
137363,"HISENSE","85U7G","China",214.783,"LCD (LED)",227.42,"Available",4,84.5600671,"85"
137382,"EKO","K75USG","China",189.442,"LCD (LED)",191.4,"Available",4,74.5833154,"75"
137382,"EKO","K750USG","China",189.442,"LCD (LED)",191.4,"Available",4,74.5833154,"75"
137383,"EKO","K550USG","China",138.897,"LCD (LED)",72.3,"Available",6,54.6837489,"55"
137492,"CAIXUN","LE-32K1","China",80.19,"LCD",25.21,"Available",6,31.570802999999998,"30"
137492,"CAIXUN","LE-32S1","China",80.19,"LCD",25.21,"Available",6,31.570802999999998,"30"
137492,"CAIXUN","LE-32F2","China",80.19,"LCD",25.21,"Available",6,31.570802999999998,"30"
137492,"CAIXUN","LE-32K1, LE-32S1, LE-32F2","China",80.19,"LCD",25.21,"Available",6,31.570802999999998,"30"
137506,"kogan","KALED32RH9210STB","China",79.967,"LCD (LED)",28,"Available",6,31.4830079,"30"
137506,"kogan","KALED32RH9220STB","China",79.967,"LCD (LED)",28,"Available",6,31.4830079,"30"
137536,"HISENSE","85U8G","China",214.783,"LCD (LED)",228.29,"Available",4,84.5600671,"85"
137550,"JVC","AV-HQ507115A","China",125.731,"LCD (LED)",56.97,"Available",5,49.5002947,"50"
